occurrenceID,type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,Municipality,kingdom,nomenclaturalCode,locality,parentEventID,eventDate,end date,samplingProtocol,eventRemarks,scientificName,genus,specificEpithet,individualCount,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLattitude,geodeticDatum
modirisk:long:monit:32,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus communis,Ochlerotatus,communis,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:33,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus communis,Ochlerotatus,communis,6,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:34,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus geniculatus,Ochlerotatus,geniculatus,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:35,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus punctor,Ochlerotatus,punctor,19,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:36,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus punctor,Ochlerotatus,punctor,3,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:37,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Ochlerotatus rusticus,Ochlerotatus,rusticus,126,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:38,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,18/05/2009,20/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus rusticus,Ochlerotatus,rusticus,63,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:39,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Gravid traps,{trapNumber:1},Culex pipiens,Culex,pipiens,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:40,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Gravid traps,{trapNumber:2},Culex pipiens,Culex,pipiens,3,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:41,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Gravid traps,{trapNumber:1},Culex torrentium,Culex,torrentium,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:42,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Gravid traps,{trapNumber:2},Culex torrentium,Culex,torrentium,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:43,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Aedes cinereus/geminus,Aedes,cinereus/geminus,7,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:44,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Aedes cinereus/geminus,Aedes,cinereus/geminus,7,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:45,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,1/06/2009,3/06/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Aedes koreicus,Aedes,koreicus,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
