id	type	license	institutionCode	basisOfRecord	dynamicProperties	occurrenceID	individualCount	sex	samplingProtocol	eventDate	year	verbatimEventDate	habitat	continent	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	genus	specificEpithet
MODIRISK:4325	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4325	24	Female	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	agriculture	Europe	Belgium	BE	East Flanders	Lozer-Kern	27 Boekweitstraat		50.9193992599999987	3.5463199620000001	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4326	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4326	1	Male	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	agriculture	Europe	Belgium	BE	East Flanders	Lozer-Kern	27 Boekweitstraat		50.9193992599999987	3.5463199620000001	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4327	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4327	1	Female	Mosquito Magnet Liberty Plus	2008-06-09	2008	2008-06-09/2008-06-16	agriculture	Europe	Belgium	BE	East Flanders	Lozer-Kern	27 Boekweitstraat		50.9193992599999987	3.5463199620000001	EPSG:4326	Wouter Dekoninck	Anopheles claviger	Anopheles	claviger
MODIRISK:4328	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4328	4	Female	Mosquito Magnet Liberty Plus	2008-08-31	2008	2008-08-31/2008-09-07	agriculture	Europe	Belgium	BE	East Flanders	Renaix		Vijver bij buren, bos	50.7396698000000015	3.57189011600000006	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4329	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4329	2	Male	Mosquito Magnet Liberty Plus	2008-08-31	2008	2008-08-31/2008-09-07	agriculture	Europe	Belgium	BE	East Flanders	Renaix		Vijver bij buren, bos	50.7396698000000015	3.57189011600000006	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4330	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4330	7	Female	Mosquito Magnet Liberty Plus	2008-06-08	2008	2008-06-08/2008-06-15	agriculture	Europe	Belgium	BE	West Flanders	Ruiselede	15 Wantestraat	Beek	51.0621910099999994	3.39235997199999995	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4331	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4331	2	Female	Mosquito Magnet Liberty Plus	2008-06-08	2008	2008-06-08/2008-06-15	agriculture	Europe	Belgium	BE	West Flanders	Ruiselede	15 Wantestraat	Beek	51.0621910099999994	3.39235997199999995	EPSG:4326	Wouter Dekoninck	Anopheles plumbeus	Anopheles	plumbeus
MODIRISK:4332	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4332	23	Female	Mosquito Magnet Liberty Plus	2008-08-03	2008	2008-08-03/2008-08-10	agriculture	Europe	Belgium	BE	West Flanders	Kortemark			51.0079689000000016	2.93774008799999997	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4333	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4333	3	Female	Mosquito Magnet Liberty Plus	2008-08-05	2008	2008-08-05/2008-08-12	agriculture	Europe	Belgium	BE	Flemish Brabant	Attenrode		Val uit (wind)	50.8546791099999993	4.92195987699999993	EPSG:4326	Wouter Dekoninck	Anopheles claviger	Anopheles	claviger
MODIRISK:4334	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4334	1	Female	Mosquito Magnet Liberty Plus	2008-08-05	2008	2008-08-05/2008-08-12	agriculture	Europe	Belgium	BE	Flemish Brabant	Attenrode		Val uit (wind)	50.8546791099999993	4.92195987699999993	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4563	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:4563	1	Male	Mosquito Magnet Liberty Plus	2008-08-20	2008	2008-08-20/2008-08-27	agriculture	Europe	Belgium	BE	Antwerp	Balen	bruine kolk		51.147460940000002	5.20576000199999989	EPSG:4326	Veerle	Culiseta annulata	Culiseta	annulata
MODIRISK:4335	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4335	4	Female	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	agriculture	Europe	Belgium	BE	Antwerp	Mechelen		redelijk groot bos met verderop de Stuivenbergvaart	51.0269889799999987	4.44836997999999983	EPSG:4326	Wouter Dekoninck	Anopheles plumbeus	Anopheles	plumbeus
MODIRISK:4336	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4336	3	Male	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	agriculture	Europe	Belgium	BE	Antwerp	Mechelen		redelijk groot bos met verderop de Stuivenbergvaart	51.0269889799999987	4.44836997999999983	EPSG:4326	Wouter Dekoninck	Culiseta annulata	Culiseta	annulata
MODIRISK:4337	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4337	3	Female	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	agriculture	Europe	Belgium	BE	Antwerp	Mechelen		redelijk groot bos met verderop de Stuivenbergvaart	51.0269889799999987	4.44836997999999983	EPSG:4326	Wouter Dekoninck	Culiseta annulata	Culiseta	annulata
MODIRISK:4338	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4338	5	Female	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	agriculture	Europe	Belgium	BE	Antwerp	Mechelen		redelijk groot bos met verderop de Stuivenbergvaart	51.0269889799999987	4.44836997999999983	EPSG:4326	Wouter Dekoninck	Culex pipiens	Culex	pipiens
MODIRISK:4566	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:4566	1	Female	Mosquito Magnet Liberty Plus	2008-09-03	2008	2008-09-03/2008-09-10	urban	Europe	Belgium	BE	Antwerp	's-Gravenwezel	de dreef van hertebos 17				EPSG:4326	Veerle	Culex torrentium	Culex	torrentium
MODIRISK:4339	Event	CC BY 2.0 BE	UCL	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:4339	1	Female	Mosquito Magnet Liberty Plus	2008-07-28	2008	2008-07-28/2008-08-04	agriculture	Europe	Belgium	BE	Antwerp	Mechelen		redelijk groot bos met verderop de Stuivenbergvaart	51.0269889799999987	4.44836997999999983	EPSG:4326	Wouter Dekoninck	Ochlerotatus cantans	Ochlerotatus	cantans
