id	type	language	license	rightsHolder	accessRights	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	sex	lifeStage	preparations	disposition	eventDate	year	month	day	countryCode	stateProvince	municipality	locality	verbatimCoordinates	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceRemarks	identifiedBy	scientificName	originalNameUsage	kingdom	genus	specificEpithet	nomenclaturalCode
RBINS:modirisk:collection:977	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:977	977	Guilliaume Severin	Female	Adult	Whole mount	in collection	5/7/1920	1920	7	5	BE	Brussels	Ukkel		ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:978	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:978	978	A. Collart	Male	Adult	Whole mount	in collection	5/8/1934	1934	8	5	BE			Forêt de Soignes (Arboretum)	FS02B	164322.69359999895	161027.29860000312	50.78926931414178	4.525140752701873	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:979	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:979	979	A. Collart	Male	Adult	Whole mount	in collection	6/10/1934	1934	10	6	BE	Luik	Visé		FS92C	157747.78759999946	245925.68819999692	50.722370765426035	5.727314283394412	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:980	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:980	980	E. Janmoulle	Female	Adult	Whole mount	in collection	6/11/1973	1973	11	6	BE	Brussels	Watermaal		ES92B	164507.80200000107	151026.7729000002	50.79103769697872	4.383313667769996	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:981	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:981	981		Female	Adult	Whole mount	in collection	6/4/1894	1894	4	6	BE	Namen	Walcourt		FR06A	104412.54250000043	154920.95840000358	50.250752539614744	4.4377433104031025	WGS84	centroid of respective UTM square given		Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:982	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:982	982	A. Collart	Female	Adult	Whole mount	in collection	6/5/1948	1948	5	6	BE	Luik	Huy	Ben-Ahin, Ravin de Soliéres, Grotte St.Etienne (B.58).	FR59A	133492.16899999973	205471.29299999774	50.50957919546546	5.150809030072504	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:983	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:983	983	R. Tollet	Female	Adult	Whole mount	in collection	6/6/1942	1942	6	6	BE			Forêt de Soignes (sentier Les trois Fontaines)	ES91A	154599.59160000086	145841.49719999733	50.70195190564638	4.30988339942558	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:984	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:984	984	R. Tollet	Male	Adult	Whole mount	in collection	6/6/1942	1942	6	6	BE			Forêt de Soignes (Rouge-Cloître)	FS03C	169415.53079999983	156119.6543999985	50.83512448461186	4.455625713577015	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:985	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:985	985	R. Tollet	Male	Adult	Whole mount	in collection	6/6/1942	1942	6	6	BE			Forêt de Soignes (sentier Les trois Fontaines)	ES91A	154599.59160000086	145841.49719999733	50.70195190564638	4.30988339942558	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
RBINS:modirisk:collection:986	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RINS Additional Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:986	986	R. Tollet	Female	Adult	Whole mount	in collection	6/6/1942	1942	6	6	BE			Forêt de Soignes (sentier Les trois Fontaines)	ES91A	154599.59160000086	145841.49719999733	50.70195190564638	4.30988339942558	WGS84	centroid of respective UTM square given	Wouter Dekoninck	Culex pipiens	Culex pipiens Linnaeus, 1758	Animalia	Culex	pipiens	ICZN
