TAG,Shape_Leng,Shape_Area
ES17A,20008.47202950000,25021184.25589999900
ES17B,20008.43461980000,25021091.19220000100
ES17C,20008.27252310000,25020685.68140000100
ES17D,20008.23518230000,25020592.19619999800
ES18A,18783.92100150000,17633834.66490000100
ES18B,20569.99552910000,19455320.51740000000
ES18C,20008.68413740000,25021714.85689999900
ES18D,20008.64666250000,25021621.62359999900
ES19C,4593.50632245000,320097.27766199998
ES19D,133.74830672600,326.26614742300
ES20A,20006.72344740000,25016811.64570000000
ES20B,20006.66212750000,25016657.88899999900
ES20C,20245.88370320000,24980345.49630000100
ES20D,20006.63617650000,25016593.49379999900
ES21A,20006.81230100000,25017033.65480000200
ES21B,20006.75053680000,25016879.49020000200
ES21C,20006.76167340000,25016907.03900000100
ES21D,20006.70018220000,25016753.25939999900
ES22A,20006.95027080000,25017378.69980000000
ES22B,20006.88886260000,25017224.72050000000
ES22C,20006.87503600000,25017190.74769999800
ES22D,20006.81359880000,25017036.69480000100
ES23A,20007.13805120000,25017848.11239999900
ES23B,20007.07610120000,25017693.48070000100
ES23C,20007.03791100000,25017598.07339999800
ES23D,20006.97623010000,25017443.61690000100
ES24A,20007.37504600000,25018441.21990000100
ES24B,20007.31315450000,25018286.32690000200
ES24C,20007.25029860000,25018129.13390000200
ES24D,20007.18847600000,25017974.41589999900
ES25A,20007.66195680000,25019158.45750000000
ES25B,20007.59982230000,25019003.46570000100
ES25C,20007.51239870000,25018784.22569999800
ES25D,20007.45023100000,25018629.15410000100
ES26A,20007.99847840000,25020000.08520000100
ES26B,20007.93630110000,25019844.78929999800
ES26C,20007.82391310000,25019563.70670000100
ES26D,20007.76190990000,25019408.24190000100
ES27A,20008.38490870000,25020966.66770000000
ES27B,19486.17875640000,21359128.51619999900
ES27C,20008.18544170000,25020467.69009999900
ES27D,20008.12309780000,25020312.17240000100
ES28A,19532.14159300000,24556358.63060000200
ES28B,12016.80938490000,5921211.71473000010
ES28C,20019.62678940000,25021230.11300000200
ES28D,14745.02893760000,5294651.43269999980
ES29C,8170.11737618000,1798638.18650999990
ES29D,3935.94579021000,808271.49788899999
ES30A,20006.58840240000,25016473.52250000100
ES30B,20006.50217750000,25016258.08260000100
ES30C,20006.56252450000,25016409.00849999900
ES30D,20006.47647470000,25016193.60630000000
ES31A,20006.67676750000,25016694.60489999900
ES31B,20006.59049490000,25016478.95380000000
ES31C,20006.62638400000,25016568.70430000100
ES31D,20006.53998430000,25016353.03779999900
ES32A,20006.81464580000,25017039.72439999900
ES32B,20006.72813330000,25016823.36439999900
ES32C,20006.73955660000,25016851.53220000100
ES32D,20006.65321490000,25016636.00209999800
ES33A,20007.00204830000,25017507.97769999900
ES33B,20006.91538710000,25017291.45850000200
ES33C,20006.90204610000,25017258.09270000100
ES33D,20006.81555920000,25017041.70120000100
ES34A,20007.23876040000,25018100.36860000000
ES34B,20007.15215820000,25017883.49439999800
ES34C,20007.11404880000,25017788.38699999800
ES34D,20007.02742070000,25017571.94029999900
ES35A,20007.52548370000,25018817.25059999900
ES35B,20007.43844660000,25018599.47270000000
ES35C,20007.37587020000,25018442.87559999900
ES35D,20007.28910140000,25018225.77400000000
ES36A,20007.86162940000,25019657.93820000100
ES36B,20007.77455040000,25019440.35370000100
ES36C,20007.68740460000,25019222.00319999800
ES36D,20007.60039740000,25019004.20389999800
ES37A,14486.57121580000,9798478.51539999990
ES37B,20404.63554950000,20557323.06349999800
ES37C,20008.04855410000,25020125.33590000100
ES37D,20007.96141080000,25019907.28469999900
ES38D,13693.88575960000,8440917.97275000070
ES40A,20006.40384560000,25016012.17720000100
ES40B,20006.29301410000,25015734.70840000000
ES40C,20006.37811400000,25015947.92940000100
ES40D,20006.26755170000,25015671.63639999900
ES41A,20006.49192280000,25016232.34099999800
ES41B,20006.38104360000,25015955.15019999800
ES41C,20006.44168130000,25016106.69669999900
ES41D,20006.33087490000,25015829.69229999900
ES42A,20006.62941580000,25016576.18450000100
ES42B,20006.51819530000,25016298.13809999800
ES42C,20006.55446450000,25016388.84829999900
ES42D,20006.44351650000,25016111.38419999900
ES43A,20006.81642670000,25017043.77250000100
ES43B,20006.70506150000,25016765.36740000200
ES43C,20006.71687110000,25016794.79190000100
ES43D,20006.60547270000,25016516.61239999900
ES44A,20007.05305710000,25017635.65190000100
ES44B,20006.94144980000,25017356.53970000100
ES44C,20006.92848990000,25017324.01940000100
ES44D,20006.81695460000,25017045.39079999900
ES45A,20007.33900170000,25018351.07800000200
ES45B,20007.22726200000,25018071.41770000000
ES45C,20007.18972840000,25017977.64799999800
ES45D,20007.07795480000,25017698.21999999900
ES46A,20007.67496960000,25019191.21099999900
ES46B,20007.56299250000,25018911.25059999900
ES46C,20007.50068460000,25018755.53150000100
ES46D,20007.38897520000,25018475.74839999900
ES47A,20008.06085520000,25020156.00450000200
ES47B,20007.94853940000,25019875.09730000000
ES47C,20007.86166410000,25019658.01929999900
ES47D,20007.74951390000,25019377.53449999900
ES48C,17945.63599910000,14374840.41369999900
ES48D,13435.84359060000,6879147.18199000040
ES50A,20006.17007540000,25015427.55849999900
ES50B,20006.03473140000,25015089.10100000000
ES50C,20006.14458790000,25015363.92770000200
ES50D,20006.00951700000,25015025.95140000100
ES51A,20006.25765760000,25015646.79320000100
ES51B,20006.12197190000,25015307.57040000000
