"type","language","license","eventID","rightsHolder","accessRights","institutionCode","datasetName","ownerInstitutionCode","basisOfREcord","countryCode","Municipality","kingdom","nomenclaturalCode","locality","parentEventID","eventDate"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:8","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:1:9","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU1","Torhout:T1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:14","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","4/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:15","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","18/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:16","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:17","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:18","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:19","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","13/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:20","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:21","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:22","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:23","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:24","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","21/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Torhout:2:25","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Torhout","Animalia","ICZN","RU2","Torhout:T1","5/10/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:1","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","20/04/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:10","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:11","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:12","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","21/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:13","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","5/10/2009"
