Subcollectie;scientificName;eventData;municipality;locality;Utm5km;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;;Provincie
Algemeen;Culex pipiens Linnaeus, 1758;3/8/1896;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;117;;BR
Algemeen;Culex pipiens Linnaeus, 1758;30/7/1893;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;118;;LG
Algemeen;Culex pipiens Linnaeus, 1758;31/3/1892;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;119;;BR
Algemeen;Culex pipiens Linnaeus, 1758;4/5/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;120;;BR
Algemeen;Culex pipiens Linnaeus, 1758;4/9/1892;Sint-Lambrechts-Woluwe;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;121;;BR
Algemeen;Culex pipiens Linnaeus, 1758;4/9/1935;Rochefort; Grotte de Tridaine (B.20);FR56D;Robert Leruth;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;122;;NA
Algemeen;Culex pipiens Linnaeus, 1758;5/4/1892;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;123;;BR
Algemeen;Culex pipiens Linnaeus, 1758;5/4/1894;Brussel;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;124;;BR
Algemeen;Culex pipiens Linnaeus, 1758;5/4/1894;Evegnée;;FS91C;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;125;;LG
Algemeen;Culex pipiens Linnaeus, 1758;5/5/1922;Mol; Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;126;;AN
Algemeen;Culex pipiens Linnaeus, 1758;5/6/1918;Melsbroek;;FS04C;André Léon Tonnoir;André Léon Tonnoir;Female;Adult;Whole mount;3C-8-Culi-6;127;;VB
Algemeen;Culex pipiens Linnaeus, 1758;6/4/1892;Ixelles;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-8-Culi-6;128;;BR
Algemeen;Culex pipiens Linnaeus, 1758;7/1922;Mol; Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-7-Culi-6;129;;AN
Algemeen;Culex pipiens Linnaeus, 1758;7/1922;Mol; Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-7-Culi-6;130;;AN
Algemeen;Culex pipiens Linnaeus, 1758;8/10/1936;Antwerpen;;ES97D;/ Brandligt;A. Collart;Female;Adult;Whole mount;3C-7-Culi-6;131;;AN
Algemeen;Culex pipiens Linnaeus, 1758;8/10/1936;Antwerpen;;ES97D;/ Brandligt;A. Collart;Male;Adult;Whole mount;3C-7-Culi-6;132;;AN
Algemeen;Culex pipiens Linnaeus, 1758;8/7/1918;Anderlecht;;ES93C;André Léon Tonnoir;André Léon Tonnoir;Female;Adult;Whole mount;3C-8-Culi-6;133;;BR
