gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1137096525	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2517	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Coquillettidia	Coquillettidia richiardii		SPECIES	Coquillettidia richiardii (Ficalbi, 1889)	BE	Handzamedijk	37e82b90-1e21-11de-ab90-f72009d2669b	51.040569	2.87125							2007-08-12T02:00Z	12	8	2007	1648899	1648899	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096524	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2547	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cinereus		SPECIES	Aedes cinereus Meigen, 1818	BE	20 Chaussée de Charleroi	37e82b90-1e21-11de-ab90-f72009d2669b	50.614239	4.74053							2007-07-31T02:00Z	31	7	2007	1651718	1651718	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-03-25T22:02Z		RECORDED_DATE_MISMATCH;TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
1137096523	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2572	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cinereus		SPECIES	Aedes cinereus Meigen, 1818	BE	A.Encl. - Tienne de Houille	37e82b90-1e21-11de-ab90-f72009d2669b	50.03664	4.89048							2007-06-18T02:00Z	18	6	2007	1651718	1651718	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-03-26T05:29Z		RECORDED_DATE_MISMATCH;TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
1137096522	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2482	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	BE	18 Heyerstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.107479	3.95249							2007-05-21T02:00Z	21	5	2007	1649565	1649565	HUMAN_OBSERVATION	UCL				Rien De Keyser	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096521	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2550	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles claviger		SPECIES	Anopheles claviger (Meigen, 1804)	BE	Maison Blanche	37e82b90-1e21-11de-ab90-f72009d2669b	49.664982	5.79171							2007-07-23T02:00Z	23	7	2007	1650857	1650857	HUMAN_OBSERVATION	KBIN				Stï¿_phane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096520	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2573	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex territans		SPECIES	Culex territans Walker, 1856	BE	A.Encl. - Tienne de Houille	37e82b90-1e21-11de-ab90-f72009d2669b	50.03664	4.89048							2007-06-18T02:00Z	18	6	2007	1653175	1653175	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096519	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2553	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	Maison Blanche	37e82b90-1e21-11de-ab90-f72009d2669b	49.664982	5.79171							2007-07-23T02:00Z	23	7	2007	1652991	1652991	HUMAN_OBSERVATION	KBIN				Stï¿_phane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096518	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2537	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	BE	2 Dijkstraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.10524	4.19417							2007-09-17T02:00Z	17	9	2007	1649565	1649565	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137096517	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2558	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	321 Rue des Ardennes	37e82b90-1e21-11de-ab90-f72009d2669b									2007-09-30T02:00Z	30	9	2007	1652991	1652991	HUMAN_OBSERVATION	KBIN				Stephane	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH
1137096516	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:2586	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	27 Provinciebaan	37e82b90-1e21-11de-ab90-f72009d2669b	51.28685	5.04774							2007-08-21T02:00Z	21	8	2007	1652991	1652991	HUMAN_OBSERVATION	ITM				Veerle	CC_BY_4_0					2017-02-28T03:52Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
